Ticker,Sector,Industry,Beta,ATR,Avg Volume,Price
XOM,Energy,Oil & Gas Integrated,0.33,3.83,20.25M,159.67
XPO,Industrials,Trucking,02.02,9.18,1.71M,181.85
XYL,Industrials,Specialty Industrial Machinery,1.18,3.13,1.68M,120.44
XYZ,Technology,Software - Infrastructure,2.65,3.00,8.37M,59.37
YUM,Consumer Cyclical,Restaurants,0.66,3.47,1.94M,156.41
ZBH,Healthcare,Medical Devices,0.62,2.67,2.13M,87.87
ZION,Financial,Banks - Regional,0.83,1.80,1.79M,54.05
ZM,Technology,Software - Application,0.93,3.12,3.89M,76.61
ZS,Technology,Software - Infrastructure,01.08,8.28,2.46M,151.47
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,0.98,3.58,4.41M,115.67
